;;Logradouro;;;;;;;
Localidade;Logradouro;CEP;Bairro;Tipo Codificação;Numero Inicial;Número Final;Trecho;Lado;Legendas
Guarabira;Rua Eutalia Bezerra de Carvalho;58203-583;Nordeste I;Simples;;;;;
Guarabira;Rua Evilmerodak dos Santos;58201-710;Mutirão;Simples;;;;;
Guarabira;Rua Fagundes Rodrigues da Silva;58201-219;Primavera;Simples;;;;;
Guarabira;Rua Felinto Cavalcante;58203-334;Esplanada da Estação;Simples;;;;;
Guarabira;Rua Felizmina Fernandes;58201-732;Mutirão;Simples;;;;;
Guarabira;Rua Fernando Lacerda Coelho Pereira;58200-772;Alto da Boa Vista;Simples;;;;;
Guarabira;Rua Filomena Cavalcante;58201-400;Rosário;Simples;;;;;
Guarabira;Rua Floriano Peixoto;58200-116;Centro;Simples;;;;;
Guarabira;Rua Francisca Teixeira Alves;58203-251;São José;Simples;;;;;
Guarabira;Rua Francisco Alves de Andrade;58204-692;Nossa Senhora Aparecida;Simples;;;;;
Guarabira;Rua Francisco Batista dos Santos;58203-574;Nordeste I;Simples;;;;;
Guarabira;Rua Francisco Camilo Pereira;58200-428;Novo;Simples;;;;;
Guarabira;Rua Francisco Clementino de Oliveira;58200-338;Cordeiro;Simples;;;;;
Guarabira;Rua Francisco Costa de Carvalho;58204-665;Monte das Oliveiras;Simples;;;;;
Guarabira;Rua Francisco de Assis Nobrega de Oliveira;58203-224;São José;Simples;;;;;
Guarabira;Rua Francisco de Assis Pereira;58203-475;Hidelbrando Matias;Simples;;;;;
Guarabira;Rua Francisco Ferreira Damiao;58200-236;Juá;Simples;;;;;
Guarabira;Rua Francisco Francelino de Souza;58203-236;São José;Simples;;;;;
Guarabira;Rua Francisco Gila;58201-162;Primavera;Simples;;;;;
Guarabira;Rua Francisco Pereira;58201-171;Primavera;Simples;;;;;
Guarabira;Rua Francisco Pimentel da Cunha;58203-376;Nordeste II;Simples;;;;;
Guarabira;Rua Francisco Rodrigues de Souza;58200-579;Sol Nascente;Simples;;;;;
Guarabira;Rua Frei Damiao de Bozzano;58203-296;São José;Simples;;;;;
Guarabira;Rua Garibaldi Correia de Sales;58200-478;Novo;Simples;;;;;
Guarabira;Rua Gení Bezerra dos Santos;58200-222;Santa Terezinha;Simples;;;;;
Guarabira;Rua Genival Braga da Silva;58203-305;São José;Simples;;;;;
Guarabira;Rua Genival Marques Pereira;58200-468;Novo;Simples;;;;;
Guarabira;Rua Geovani Muniz dos Santos;58200-128;Centro;Simples;;;;;
Guarabira;Rua Geraldo Barbosa;58200-645;Sol Nascente;Simples;;;;;
Guarabira;Rua Geraldo Barbosa da Silva;58203-174;Assis Chateaubriand;Simples;;;;;
Guarabira;Rua Getúlio Vargas;58200-001;Centro;Simples;;;;;
Guarabira;Rua Gilvan Camilo Pereira;58203-215;São José;Simples;;;;;
Guarabira;Rua Gilzeline Ayres da Silva;58201-595;Osmar de Aquino;Simples;;;;;
Guarabira;Rua Governador Ivan Bichara Sobreira;58201-449;Areia Branca;Simples;;;;;
Guarabira;Rua Helena de Lucena Barbosa;58200-600;Sol Nascente;Simples;;;;;
Guarabira;Rua Heloisa Araújo de Lima;58200-754;Alto da Boa Vista;Simples;;;;;
Guarabira;Rua Henrique Pacifico da Fonseca;58200-310;Bela Vista;Seccionamento;2;9998;I;P;
Guarabira;Rua Henrique Pacifico da Fonseca;58201-192;Primavera;Seccionamento;1;9999;I;I;
Guarabira;Rua Heráclito de Lucena;58203-318;Esplanada da Estação;Simples;;;;;
Guarabira;Rua Hermenegildo Cunha;58203-388;Nordeste II;Simples;;;;;
Guarabira;Rua Hermenegildo de Almeida;58203-269;São José;Simples;;;;;
Guarabira;Rua Hermenegildo Ribeiro Gomes;58203-260;São José;Simples;;;;;
Guarabira;Rua Heronides Henriques Bulhoes;58203-420;Nordeste II;Simples;;;;;
Guarabira;Rua Heronides Ramalho de Sousa;58200-086;Centro;Simples;;;;;
Guarabira;Rua Herotides Porpino Matos;58203-028;Clóvis Bezerra;Simples;;;;;
Guarabira;Rua Hidelbrando Matias;58203-589;Nordeste I;Simples;;;;;
Guarabira;Rua Hipólito Paiva;58203-068;Lucas Porpino;Simples;;;;;
Guarabira;Rua Honorato Araujo Filho;58203-428;Nordeste II;Simples;;;;;
Guarabira;Rua Humberto Pinto Aranha;58203-577;Nordeste I;Simples;;;;;
Guarabira;Rua Inacio Felix de Sousa;58203-024;Clóvis Bezerra;Simples;;;;;
Guarabira;Rua Inácio José Batista;58204-671;Monte das Oliveiras;Simples;;;;;
Guarabira;Rua Inês Antônia da Silva;58201-208;Primavera;Simples;;;;;
Guarabira;Rua Inês de Bulhões Rodrigues;58201-201;Primavera;Simples;;;;;
Guarabira;Rua Inês Maria Espínola Anísio;58200-648;Sol Nascente;Simples;;;;;
Guarabira;Rua Inês Sales de Franca;58201-000;Dona Adália;Simples;;;;;
Guarabira;Rua Inocêncio Costa da Silva;58201-886;Distrito Industrial;Simples;;;;;
Guarabira;Rua Iracema da Silva Sátiro;58201-014;Dona Adália;Simples;;;;;
Guarabira;Rua Iracy Cavalcante de Souza;58201-413;Areia Branca;Simples;;;;;
Guarabira;Rua Irene Fernandes;58200-182;Santa Terezinha;Simples;;;;;
Guarabira;Rua Isabel dos Anjos;58201-382;Rosário;Simples;;;;;
Guarabira;Rua Isaias Gouveia da Silva;58203-212;São José;Simples;;;;;
Guarabira;Rua Ivanildo Camilo de Moura;58204-684;Nossa Senhora Aparecida;Simples;;;;;
Guarabira;Rua Ivanilton de Freitas Albuquerque;58203-134;Antônio de Freitas Araújo;Simples;;;;;
